Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21867,"",Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,Bedding,FTH-QSLPC-12,7000000004421,309853028372,"","","","","",not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"55,00",8,2,2,"16,00","32,00",,,"110,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21883,"",Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET NAPKIN,terracotta,Napkin,CR-NP-73,"",46123034050827,,,"",,,not delivered,08/04/2025,22/04/2025,20/05/2025,,,,"29,00",8,6,6,"7,00","42,00",,,"174,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21888,"",Al-Malaika for Manufacturing Textiles S.A.E.,,TILAPIA GUEST TOWELS (Set of 2),aqua,Guest Towels,TIL-GUTW-17,7000000026621,42285335019767,,,"",,,not delivered,27/04/2025,29/04/2025,27/05/2025,,,,"59,00",-2,8,4,"17,00","68,00",,,"236,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21894,"",Al-Malaika for Manufacturing Textiles S.A.E.,,SULTANA CUSHION COVER,Default Title,Cushion,SLT-CU,7000000037207,43591563837707,,,,,,not delivered,07/05/2025,07/05/2025,04/06/2025,,,,"132,00",-2,4,4,"30,00","120,00",,,"528,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21895,"",Al-Malaika for Manufacturing Textiles S.A.E.,,ORCHARD PLACEMAT,beige,Placemats,CAIOR-PLAC,7000000020162,33336971886669,,,"",,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"26,00",7,6,6,"8,00","48,00",,,"156,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21895,"",Al-Malaika for Manufacturing Textiles S.A.E.,,JULIA NAPKIN,amber,Napkin,JUL-NP-05,7000000039041,43739351023883,,,"",,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"30,00",2,16,16,"6,00","96,00",,,"480,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21895,"",Al-Malaika for Manufacturing Textiles S.A.E.,,ROYAL PALM LINEN CUSHION COVER,50cm x 50cm,Cushion,LNPL-SQCU-03,7000000008092,15405055967309,"","","","","",not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"93,00",3,7,3,"27,00","81,00",,,"279,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21898,,Al-Malaika for Manufacturing Textiles S.A.E.,,TILAPIA GUEST TOWELS (Set of 2),aqua,Guest Towels,TIL-GUTW-17,7000000026621,42285335019767,,,"",,,not delivered,15/05/2025,20/05/2025,17/06/2025,,,,"59,00",-2,8,4,"17,00","68,00",,,"236,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21898,,Al-Malaika for Manufacturing Textiles S.A.E.,,TILAPIA GUEST TOWELS (Set of 2),blush,Guest Towels,TIL-GUTW-72,7000000026638,42285335052535,,,"",,,not delivered,15/05/2025,20/05/2025,17/06/2025,,,,"59,00",0,4,4,"17,00","68,00",,,"236,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21904,"",Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET NAPKIN,teal,Napkin,CR-NP-15,"",46123033526539,,,"",,,not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"29,00",34,48,12,"8,40","100,80",,,"348,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21904,"",Al-Malaika for Manufacturing Textiles S.A.E.,,CHILDREN’S EMBROIDERED TRAVEL BAG,Butterfly,Bags,NV-TRBG-11,7000000014123,28277978726477,"","","","","",not delivered,06/06/2025,14/06/2025,12/07/2025,,,,"48,00",0,2,1,"15,00","15,00",,,"48,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,SCARLET NAPKIN,Default Title,Napkin,SCL-NP-16,,46123012587787,,,"",,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"29,00",4,8,8,"8,00","64,00",,,"232,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,BIRD NAPKIN (SET OF 3),sky blue,Napkin,BIR-NP-10,7000000021695,33338375110733,"",,"",,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"58,00",0,3,3,"16,00","48,00",,,"174,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,EMBROIDERED LAUNDRY BAG,Rania / aqua,Bags,RN-LABG-15,7000000007415,42370242674935,,,,,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"55,00",1,1,1,"17,00","17,00",,,"55,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,ZIG ZAG NAPKIN,green,Napkin,ZZ-NP-19,7000000019739,43740530835723,,,"",,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"25,00",4,24,24,"9,00","216,00",,,"600,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,LUXOR PALM GUEST TOWEL (Set of 2),Default Title,Towel,LXPL-GUTW-82,,46123100143883,,,"",,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"59,00",0,7,5,"18,00","90,00",,,"295,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21909,,Al-Malaika for Manufacturing Textiles S.A.E.,,BIG FISH BEACH TOWEL,blue,Beach Towel,BIGFI-BETW-15-20,7000000026843,42285335773431,,,"",,,not delivered,04/07/2025,05/07/2025,02/08/2025,,,,"53,00",-1,6,3,"15,00","45,00",,,"159,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21910,"",Al-Malaika for Manufacturing Textiles S.A.E.,,BIRD NAPKIN (SET OF 3),green,Napkin,BIR-NP-19,7000000021718,33338382647373,NP-LN-BR-green,,,,,not delivered,05/07/2025,05/07/2025,02/08/2025,,,,"58,00",-6,7,7,"17,00","119,00",,,"406,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21911,,Al-Malaika for Manufacturing Textiles S.A.E.,,RED SEA BEACH TOWEL,terracotta,Beach Towel,RESE-BETW-73,"",46630612238603,,,"",,,not delivered,05/07/2025,13/07/2025,10/08/2025,,,,"58,00",-6,10,10,"18,00","180,00",,,"580,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21913,"",Al-Malaika for Manufacturing Textiles S.A.E.,,MARWA LINEN CONTRAST EDGE NAPKINS,coral/amber,Napkin,OV-NP-33-14/05,7000000024535,39444487405645,,,"",,,not delivered,14/07/2025,14/07/2025,11/08/2025,,,,"15,00",2,26,12,"4,00","48,00",,,"180,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21913,"",Al-Malaika for Manufacturing Textiles S.A.E.,,Fitted Sheets (All Sizes),Super King Plus (200cm x 210cm x 35cm),Bedding,SKP-FITS-00,7000000022371,39274590699597,,,"",,,not delivered,14/07/2025,14/07/2025,11/08/2025,,,,"175,00",0,1,1,"40,00","40,00",,,"175,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21914,,Al-Malaika for Manufacturing Textiles S.A.E.,,TULIP NAPKIN,amber,Napkin,TU-NP-05,7000000024016,39439452241997,,,,,,not delivered,14/07/2025,23/07/2025,20/08/2025,,,,"48,00",12,6,6,"11,00","66,00",,,"288,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
21914,,Al-Malaika for Manufacturing Textiles S.A.E.,,RED SEA GUEST TOWEL (Set of 2),Default Title,Towel,RESE-GUTW-82,,46630801899787,,,,,,not delivered,14/07/2025,23/07/2025,20/08/2025,,,,"59,00",2,2,2,"17,00","34,00",,,"118,00",Berlin,Dubrowstraße 29,"",Berlin,,14129,Germany
