Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET PLACEMAT,terracotta,Placemats,CR-PLAC-56,,4.6123E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"63,00",0,3,2,"13,00","26,00",,,"126,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,OTTOMAN FEATHER GUEST TOWEL (Set of 2),teal,Towel,OTF-GUTW-15,,4.61231E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"54,00",0,2,2,"17,00","34,00",,,"108,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,OTTOMAN FEATHER GUEST TOWEL (Set of 2),terracotta,Towel,OTF-GUTW-73,,4.61231E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"54,00",0,2,2,"17,00","34,00",,,"108,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,OTTOMAN FEATHER NAPKIN,teal,Napkin,OTF-NP-15,,4.6123E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"29,00",2,6,6,"9,00","54,00",,,"174,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,FOLK NAPKIN (Set of 6),Default Title,Napkin,FOLK-NP-82,,4.6123E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"100,00",0,1,1,"48,00","48,00",,,"100,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,OTTOMAN FEATHER COCKTAIL NAPKINS (Set of 6),teal,Napkin,OTF-CNP-15,,4.61231E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"59,00",0,2,2,"15,00","30,00",,,"118,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,DAKHIRA NAPKIN,aqua,Napkin,DAKH-NP-17,,4.6123E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"29,00",0,8,6,"9,00","54,00",,,"174,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,STELLAR CUSHION COVER,blue,Cushion,STL-CU-20,,4.6613E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"65,00",-1,1,1,"16,00","16,00",,,"65,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,STELLAR CUSHION COVER,pink,Cushion,STL-CU-11,,4.6613E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"65,00",-1,2,2,"16,00","32,00",,,"130,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21864,,Al-Malaika for Manufacturing Textiles S.A.E.,,STELLAR CUSHION COVER,teal,Cushion,STL-CU-15,,4.6613E+13,,,,,,not delivered,12/02/2025,13/02/2025,13/03/2025,,,,"65,00",-1,2,2,"16,00","32,00",,,"130,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,BEE NAPKIN,orange / pink,Napkin,BEE-NP-04/11,,4.66105E+13,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"25,00",2,12,12,"9,00","108,00",,,"300,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Flat Sheet / King Size (275cm x 290cm) / beige,Bedding,FTH-KS-12,7E+12,3.09852E+11,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"220,00",1,2,2,"55,00","110,00",,,"440,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Duvet Cover / Super King (260cm x 220cm) / beige,Bedding,FTH-SKD-12,7E+12,3.09853E+11,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"358,00",1,2,2,"91,00","182,00",,,"716,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,Bedding,FTH-QSLPC-12,7E+12,3.09853E+11,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"55,00",2,8,6,"16,00","96,00",,,"330,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,BIRDLIFE COCKTAIL NAPKINS (Set of 6),Default Title,Napkin,BIR-CNP,7E+12,4.35627E+13,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"40,00",0,20,5,"11,00","55,00",,,"200,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
